     0     26         26 -1.379286974395978049e+01 7.942312388024793108e+02 0.000000000000000000e+00
     0     27         27 -1.503075827659548658e+01 1.311983884450862661e+03 -9.782651115604876395e+02
     0     28         28 -1.561093596142401019e+01 1.549111558102510116e+03 -9.268844706795277943e+02
     0     29         29 -1.675333564720886059e+01 1.992065877574817478e+03 -1.003759542770488451e+03
     0     30         30 -1.747638255008683217e+01 2.465103355236034986e+03 -6.810558316355884472e+02
     0     31         31 -1.801905041621308001e+01 2.675603265465878849e+03 -5.344774549886271870e+02
     0     32         32 -1.846968732343302833e+01 3.014896944736568457e+03 -5.404633383513948957e+02
     0     33         33 -1.902347971214004119e+01 2.943997220058420226e+03 -5.215885608159894673e+02
     0     34         34 -1.943903860728151045e+01 3.044664293538287438e+03 -4.465473740962036686e+02
     0     35         35 -1.985336997986781071e+01 2.876179012156303543e+03 -3.698355051829693707e+02
     0     36         36 -2.012636296347715614e+01 2.583289042559539666e+03 -6.312012158361775249e+01
     0     37         37 -1.997067617768401959e+01 1.773060163690412992e+03 -8.304363851950441244e+01
     0     38         38 -2.028069621321023419e+01 1.456764507748832330e+03 -1.788717546962037090e+02
     0     39         39 -2.030310211276921351e+01 6.455104843665972112e+02 0.000000000000000000e+00
     1     24         80 -1.157091577642839653e+01 0.000000000000000000e+00 0.000000000000000000e+00
     1     25         81 -1.257398265400344073e+01 0.000000000000000000e+00 -8.857545216197120226e+02
     1     26         82 -1.321705479712209019e+01 1.074232058709069861e+03 -8.101288530283752607e+02
     1     27         83 -1.407957442261356285e+01 1.403230726796551608e+03 -6.837816290331635400e+02
     1     28         84 -1.448783535054979588e+01 1.610606658301048583e+03 -6.615802779235547177e+02
     1     29         85 -1.530909466126825613e+01 2.019491475055677256e+03 -6.464254760452287201e+02
     1     30         86 -1.568919100171000380e+01 2.316820285553806571e+03 -4.144036680046191918e+02
     1     31         87 -1.607924714885993467e+01 2.438314397294082482e+03 -3.199995744983223744e+02
     1     32         88 -1.628389729259499319e+01 2.763781323875583439e+03 -4.357611962807413875e+02
     1     33         89 -1.688909174055355322e+01 2.795382530348200817e+03 -5.099761338966280846e+02
     1     34         90 -1.723166734980524240e+01 2.917582371480049915e+03 -4.730036765472942193e+02
     1     35         91 -1.776814997835092669e+01 2.936425082746174667e+03 -5.498208448274365310e+02
     1     36         92 -1.825348719375722339e+01 2.955808042823283358e+03 -4.934536086706663696e+02
     1     37         93 -1.868521358943983302e+01 2.361471051365389940e+03 -5.225078286458838193e+02
     1     38         94 -1.922454689975690201e+01 2.083545358596790265e+03 -6.187358600390692800e+02
     1     39         95 -1.983510920707696812e+01 1.403648472748618588e+03 -7.334370218737011555e+02
